"ID","REPORT_DATE","BALANCE","ORIGINATION_DATE","MATURITY_DATE","BUREAU_SCORE_ORIG","DEFAULT_FLAG","LOAN_STATUS","ASSET_TYPE","SUPPLIER","CUSTOMER_TYPE"
4346250,"2014-06-30",182310.54,"2005-07-22","2025-07-22",570,0,0,"Backhoe Loader","supplier5","Individual"
8308051,"2008-03-31",68487.43,"1999-08-02","2019-08-02",874,0,0,"Backhoe Loader","supplier4","Business"
7478526,"2012-12-31",311140.01,"2007-09-03","2032-09-03",772,0,0,"Excavator","supplier3","Individual"
8952242,"2005-03-31",57393.33,"2004-08-25","2024-08-25",614,0,0,"Excavator","supplier7","Business"
4549222,"2014-09-30",91381.91,"2007-03-07","2032-03-07",698,0,0,"Tipping Trailer","supplier1","Business"
4165847,"2014-09-30",177735.41,"2004-07-01","2019-07-01",813,0,0,"Backhoe Loader","supplier2","Individual"
5090952,"2009-12-31",108041.27,"2006-03-07","2025-03-07",628,0,0,"Backhoe Loader","supplier5","Individual"
9312522,"2009-06-30",294847.65,"2006-08-08","2031-08-08",827,0,0,"Backhoe Loader","supplier1","Individual"
6567605,"2016-06-30",81223.57,"2005-05-16","2025-05-16",504,0,0,"Tipping Trailer","supplier2","Individual"
9906222,"2011-09-30",194335.11,"2004-01-30","2024-01-30",549,0,0,"Excavator","supplier2","Individual"
1557592,"2015-06-30",105504.45,"2004-12-22","2023-12-22",510,0,0,"Backhoe Loader","supplier2","Individual"
5650360,"2006-06-30",285946.62,"2006-02-16","2021-02-16",725,0,0,"Tractor","supplier5","Individual"
6660732,"2015-06-30",296666.49,"2005-05-17","2030-05-17",688,0,0,"Backhoe Loader","supplier6","Individual"
8173064,"2008-03-31",74087.29,"2005-12-21","2029-12-21",556,0,0,"Backhoe Loader","supplier6","Business"
4755103,"2009-03-31",226728.31,"2007-09-21","2027-09-21",526,0,0,"Tractor","supplier2","Individual"
2202960,"2008-03-31",122498.82,"2005-04-15","2028-04-15",491,0,0,"Backhoe Loader","supplier7","Business"
