"id","monthly_installment","loan_balance","bureau_score","region","ltv","overdue_months","origination_date","maturity_date","overdue_status","loan_term","live_status","repaid_status","month","overdue_event","term_expiry_event","max_overdue_event","max_overdues_12m","max_arrears_bal_6m","avg_bureau_score_6m","credit_utilization","annual_income","emp_length","months_since_cc_deliq","default_event"
6670001,746.7,131304.44,541,"r_a",0.7586,0,2005-09-14,2040-09-30,1,35,1,0,9,0,0,1,0,-42,542,0.4578,76749,3,11,0
9131199,887.4,115486.51,441,"r_b",0.6973,0,2006-01-20,2031-01-31,1,25,1,0,9,0,0,1,0,0,494,0.6299,78451,10,7,0
4963167,1008.5,128381.73,282,"r_c",0.6959,2.1882,2004-12-21,2029-12-31,2,25,1,0,9,1,0,2,2.1882,1198,290,0.6331,31038,3,6,1
3918582,458.23,35482.96,461,"r_d",0.1099,0,2005-06-21,2023-06-30,1,18,1,0,9,0,0,1,0,-114,460,0.499,56663,8,6,0
5949777,431.2,77086.31,466,"r_e",0.3776,0,2006-07-19,2041-07-31,1,35,1,0,9,0,0,1,0,0,468,0.9568,77014,10,3,0
1868971,228.86,40380.63,470,"r_c",0.2192,0,2005-09-13,2015-09-30,1,10,1,0,9,0,1,1,0,0,484,0.6074,52457,3,3,1
8656464,370.21,44978.8,515,"r_c",0.4727,0,2004-07-29,2029-07-31,1,25,1,0,9,0,0,1,0,-114,516,0.3454,74479,11,13,0
2347301,1665.05,440127.97,487,"r_f",0.5215,0,2005-09-27,2030-09-30,1,25,1,0,9,0,0,1,0,0,400,0.569,92025,5,5,0
7372573,397.1,100918.22,NA,"r_g",0.9995,1.7757,2007-01-31,2042-01-31,2,35,1,0,9,1,0,2,1.7757,308,NA,0.9923,43162,4,3,1
7843579,615.51,77337.43,307,"r_h",0.4302,0,2004-12-16,2029-12-31,1,25,1,0,9,0,0,1,0,0,318,0.3598,36206,1,14,0
4066165,471.44,125415.07,367,"r_c",0.8256,0.6079,2005-10-06,2030-10-31,2,25,1,0,9,0,0,2,1.8077,800,376,0.5415,58971,8,9,0
3188782,334.7,83965.1,328,"r_a",1.078,0,2007-04-23,2037-04-30,1,30,1,0,9,0,0,1,0,-244,370,0.3522,76460,7,14,0
3581494,771.3,194978.99,518,"r_h",0.862,0,2006-06-22,2026-06-30,1,20,1,0,9,0,0,1,0,0,518,0.4029,86752,5,4,0
